user_id,item_id,event_type,timestamp
user_12,item_227,click,2023-12-01 00:00:00
user_2,item_306,click,2023-12-01 00:01:00
user_25,item_482,click,2023-12-01 00:02:00
user_37,item_330,add_to_cart,2023-12-01 00:03:00
user_37,item_36,click,2023-12-01 00:04:00
user_78,item_431,click,2023-12-01 00:05:00
user_29,item_491,view,2023-12-01 00:06:00
user_8,item_247,add_to_cart,2023-12-01 00:07:00
user_16,item_356,click,2023-12-01 00:08:00
user_54,item_184,click,2023-12-01 00:09:00
user_20,item_495,add_to_cart,2023-12-01 00:10:00
user_86,item_339,add_to_cart,2023-12-01 00:11:00
user_59,item_272,add_to_cart,2023-12-01 00:12:00
user_72,item_236,click,2023-12-01 00:13:00
user_65,item_95,view,2023-12-01 00:14:00
user_78,item_380,click,2023-12-01 00:15:00
user_23,item_30,view,2023-12-01 00:16:00
user_60,item_461,add_to_cart,2023-12-01 00:17:00
user_2,item_324,click,2023-12-01 00:18:00
user_16,item_318,view,2023-12-01 00:19:00
user_42,item_267,add_to_cart,2023-12-01 00:20:00
user_60,item_344,add_to_cart,2023-12-01 00:21:00
user_20,item_95,view,2023-12-01 00:22:00
user_69,item_205,view,2023-12-01 00:23:00
user_35,item_470,add_to_cart,2023-12-01 00:24:00
user_60,item_195,click,2023-12-01 00:25:00
user_80,item_461,add_to_cart,2023-12-01 00:26:00
user_27,item_14,view,2023-12-01 00:27:00
user_54,item_453,add_to_cart,2023-12-01 00:28:00
user_19,item_410,view,2023-12-01 00:29:00
user_24,item_7,add_to_cart,2023-12-01 00:30:00
user_41,item_182,click,2023-12-01 00:31:00
user_33,item_332,click,2023-12-01 00:32:00
user_26,item_423,add_to_cart,2023-12-01 00:33:00
user_82,item_363,add_to_cart,2023-12-01 00:34:00
user_7,item_133,click,2023-12-01 00:35:00
user_74,item_481,view,2023-12-01 00:36:00
user_72,item_7,click,2023-12-01 00:37:00
user_13,item_441,add_to_cart,2023-12-01 00:38:00
user_49,item_99,view,2023-12-01 00:39:00
user_13,item_8,view,2023-12-01 00:40:00
user_99,item_202,view,2023-12-01 00:41:00
user_68,item_386,view,2023-12-01 00:42:00
user_72,item_17,add_to_cart,2023-12-01 00:43:00
user_53,item_174,add_to_cart,2023-12-01 00:44:00
user_11,item_63,view,2023-12-01 00:45:00
user_21,item_120,add_to_cart,2023-12-01 00:46:00
user_4,item_290,view,2023-12-01 00:47:00
user_25,item_419,view,2023-12-01 00:48:00
user_13,item_31,add_to_cart,2023-12-01 00:49:00
user_22,item_246,view,2023-12-01 00:50:00
user_47,item_444,view,2023-12-01 00:51:00
user_67,item_96,add_to_cart,2023-12-01 00:52:00
user_85,item_17,add_to_cart,2023-12-01 00:53:00
user_64,item_200,add_to_cart,2023-12-01 00:54:00
user_97,item_184,click,2023-12-01 00:55:00
user_53,item_374,view,2023-12-01 00:56:00
user_82,item_154,click,2023-12-01 00:57:00
user_96,item_448,view,2023-12-01 00:58:00
user_19,item_483,click,2023-12-01 00:59:00
user_31,item_47,add_to_cart,2023-12-01 01:00:00
user_47,item_153,add_to_cart,2023-12-01 01:01:00
user_82,item_300,view,2023-12-01 01:02:00
user_43,item_115,view,2023-12-01 01:03:00
user_1,item_33,view,2023-12-01 01:04:00
user_85,item_380,view,2023-12-01 01:05:00
user_79,item_165,view,2023-12-01 01:06:00
user_76,item_170,view,2023-12-01 01:07:00
user_87,item_93,click,2023-12-01 01:08:00
user_15,item_191,add_to_cart,2023-12-01 01:09:00
user_19,item_74,add_to_cart,2023-12-01 01:10:00
user_83,item_467,add_to_cart,2023-12-01 01:11:00
user_93,item_170,add_to_cart,2023-12-01 01:12:00
user_24,item_216,view,2023-12-01 01:13:00
user_38,item_208,click,2023-12-01 01:14:00
user_20,item_406,view,2023-12-01 01:15:00
user_32,item_133,view,2023-12-01 01:16:00
user_19,item_132,click,2023-12-01 01:17:00
user_94,item_17,view,2023-12-01 01:18:00
user_51,item_320,click,2023-12-01 01:19:00
user_30,item_198,click,2023-12-01 01:20:00
user_28,item_144,click,2023-12-01 01:21:00
user_61,item_125,click,2023-12-01 01:22:00
user_24,item_92,view,2023-12-01 01:23:00
user_51,item_70,view,2023-12-01 01:24:00
user_65,item_150,view,2023-12-01 01:25:00
user_13,item_142,add_to_cart,2023-12-01 01:26:00
user_6,item_399,click,2023-12-01 01:27:00
user_60,item_387,add_to_cart,2023-12-01 01:28:00
user_53,item_449,view,2023-12-01 01:29:00
user_91,item_319,add_to_cart,2023-12-01 01:30:00
user_95,item_99,click,2023-12-01 01:31:00
user_46,item_343,add_to_cart,2023-12-01 01:32:00
user_20,item_427,add_to_cart,2023-12-01 01:33:00
user_52,item_416,add_to_cart,2023-12-01 01:34:00
user_47,item_126,view,2023-12-01 01:35:00
user_23,item_98,view,2023-12-01 01:36:00
user_67,item_487,view,2023-12-01 01:37:00
user_20,item_14,add_to_cart,2023-12-01 01:38:00
user_11,item_101,add_to_cart,2023-12-01 01:39:00
user_33,item_404,click,2023-12-01 01:40:00
user_91,item_363,view,2023-12-01 01:41:00
user_99,item_261,click,2023-12-01 01:42:00
user_68,item_484,add_to_cart,2023-12-01 01:43:00
user_56,item_89,add_to_cart,2023-12-01 01:44:00
user_51,item_238,view,2023-12-01 01:45:00
user_81,item_177,view,2023-12-01 01:46:00
user_93,item_250,add_to_cart,2023-12-01 01:47:00
user_4,item_47,view,2023-12-01 01:48:00
user_64,item_68,add_to_cart,2023-12-01 01:49:00
user_88,item_380,view,2023-12-01 01:50:00
user_28,item_279,view,2023-12-01 01:51:00
user_79,item_399,add_to_cart,2023-12-01 01:52:00
user_49,item_146,view,2023-12-01 01:53:00
user_16,item_381,view,2023-12-01 01:54:00
user_4,item_491,click,2023-12-01 01:55:00
user_45,item_434,view,2023-12-01 01:56:00
user_30,item_340,view,2023-12-01 01:57:00
user_4,item_386,add_to_cart,2023-12-01 01:58:00
user_25,item_362,view,2023-12-01 01:59:00
user_36,item_415,add_to_cart,2023-12-01 02:00:00
user_30,item_478,add_to_cart,2023-12-01 02:01:00
user_90,item_83,view,2023-12-01 02:02:00
user_94,item_100,click,2023-12-01 02:03:00
user_93,item_371,click,2023-12-01 02:04:00
user_13,item_50,click,2023-12-01 02:05:00
user_52,item_443,click,2023-12-01 02:06:00
user_89,item_116,add_to_cart,2023-12-01 02:07:00
user_34,item_36,click,2023-12-01 02:08:00
user_43,item_73,add_to_cart,2023-12-01 02:09:00
user_44,item_303,add_to_cart,2023-12-01 02:10:00
user_48,item_41,add_to_cart,2023-12-01 02:11:00
user_86,item_455,add_to_cart,2023-12-01 02:12:00
user_11,item_290,click,2023-12-01 02:13:00
user_90,item_465,add_to_cart,2023-12-01 02:14:00
user_80,item_381,click,2023-12-01 02:15:00
user_65,item_161,click,2023-12-01 02:16:00
user_6,item_304,add_to_cart,2023-12-01 02:17:00
user_9,item_235,view,2023-12-01 02:18:00
user_41,item_15,add_to_cart,2023-12-01 02:19:00
user_20,item_279,click,2023-12-01 02:20:00
user_81,item_54,click,2023-12-01 02:21:00
user_81,item_259,view,2023-12-01 02:22:00
user_79,item_28,click,2023-12-01 02:23:00
user_54,item_23,add_to_cart,2023-12-01 02:24:00
user_44,item_487,add_to_cart,2023-12-01 02:25:00
user_45,item_137,click,2023-12-01 02:26:00
user_22,item_392,add_to_cart,2023-12-01 02:27:00
user_27,item_351,view,2023-12-01 02:28:00
user_88,item_118,click,2023-12-01 02:29:00
user_69,item_269,click,2023-12-01 02:30:00
user_74,item_222,click,2023-12-01 02:31:00
user_43,item_217,view,2023-12-01 02:32:00
user_7,item_160,click,2023-12-01 02:33:00
user_89,item_370,click,2023-12-01 02:34:00
user_84,item_17,add_to_cart,2023-12-01 02:35:00
user_84,item_500,view,2023-12-01 02:36:00
user_9,item_185,view,2023-12-01 02:37:00
user_3,item_482,view,2023-12-01 02:38:00
user_55,item_102,click,2023-12-01 02:39:00
user_58,item_151,click,2023-12-01 02:40:00
user_69,item_289,view,2023-12-01 02:41:00
user_92,item_6,add_to_cart,2023-12-01 02:42:00
user_67,item_29,add_to_cart,2023-12-01 02:43:00
user_64,item_23,click,2023-12-01 02:44:00
user_22,item_261,add_to_cart,2023-12-01 02:45:00
user_29,item_139,add_to_cart,2023-12-01 02:46:00
user_30,item_469,add_to_cart,2023-12-01 02:47:00
user_25,item_257,click,2023-12-01 02:48:00
user_37,item_78,click,2023-12-01 02:49:00
user_14,item_290,add_to_cart,2023-12-01 02:50:00
user_42,item_119,click,2023-12-01 02:51:00
user_60,item_487,view,2023-12-01 02:52:00
user_81,item_140,view,2023-12-01 02:53:00
user_71,item_234,add_to_cart,2023-12-01 02:54:00
user_87,item_48,click,2023-12-01 02:55:00
user_83,item_295,click,2023-12-01 02:56:00
user_43,item_324,view,2023-12-01 02:57:00
user_35,item_198,view,2023-12-01 02:58:00
user_100,item_44,view,2023-12-01 02:59:00
user_90,item_455,click,2023-12-01 03:00:00
user_66,item_127,add_to_cart,2023-12-01 03:01:00
user_28,item_166,click,2023-12-01 03:02:00
user_22,item_437,add_to_cart,2023-12-01 03:03:00
user_30,item_64,click,2023-12-01 03:04:00
user_73,item_66,add_to_cart,2023-12-01 03:05:00
user_34,item_460,add_to_cart,2023-12-01 03:06:00
user_52,item_444,add_to_cart,2023-12-01 03:07:00
user_17,item_272,view,2023-12-01 03:08:00
user_68,item_410,view,2023-12-01 03:09:00
user_94,item_57,click,2023-12-01 03:10:00
user_33,item_225,click,2023-12-01 03:11:00
user_46,item_477,view,2023-12-01 03:12:00
user_56,item_23,click,2023-12-01 03:13:00
user_63,item_236,click,2023-12-01 03:14:00
user_16,item_161,view,2023-12-01 03:15:00
user_69,item_158,click,2023-12-01 03:16:00
user_29,item_261,view,2023-12-01 03:17:00
user_35,item_91,view,2023-12-01 03:18:00
user_86,item_213,click,2023-12-01 03:19:00
